"","Pseudotime"
"aE17.5_1_22",0.341028432976033
"aE17.5_1_29",0.341163304469046
"aP0_3_02",0.341320644104678
"aE17.5_1_07",0.341924178703258
"aP0_3_14",0.342015039389885
"aE17.5_2_10",0.351863303603571
"aP0_2_07",0.364436895650718
"aP0_2_04",0.36941782152262
"aP0_2_09",0.374029613200926
"aE17.5_1_23",0.382857064689118
"aP0_3_04",0.38626656742836
"aP0_2_05",0.386658504899691
"aE17.5_1_15",0.397539499089181
"aP0_1_04",0.398398887343747
"aP0_1_15",0.411026156452859
"aP0_1_10",0.42509776838855
"aP0_1_19",0.429919991991575
"aP0_2_03",0.436729251432142
"aP0_1_09",0.441428895044502
"aP0_2_06",0.459405656530825
"aP0_3_06",0.461564259714948
"aP0_3_10",0.47620593198018
"aP0_2_10",0.486417148951164
"aP0_1_07",0.488208220479968
"aP0_1_17",0.495370442958975
"aP0_1_11",0.521502834251277
"aP0_1_16",0.522500837672464
"aP0_2_01",0.531279486280183
"aP0_1_05",0.549478037530487
"aP15_1_08",0.561765738138403
"aP9_3_07",0.626853447334357
"aP15_1_21",0.63150161488125
"aP15_1_14",0.641708855620805
"aP9_2_09",0.667886527419822
"aP9_4_11",0.680869973009519
"aP9_4_14",0.696480496274844
"aP9_2_05",0.702554621662294
"aP15_2_15",0.705740120927593
"aP9_4_12",0.708421532022217
"aP18_1_01",0.718074078723696
"aP9_2_08",0.719431492811857
"aP9_2_15",0.727437408852244
"aP18_1_16",0.728021208796129
"aP15_1_24",0.740322997336634
"aP18_3_01",0.742120270794873
"aP9_2_19",0.749606863330176
"aP15_1_02",0.752064809064297
"aP9_3_03",0.753448490375024
"aP15_2_19",0.756517982371433
"aP9_2_02",0.757002674700785
"aP9_3_04",0.763635552418645
"aP60_5_09",0.764069004053682
"aP15_2_21",0.765455386696662
"aP9_4_10",0.767484409049163
"aP9_2_20",0.769370921920363
"aP15_1_06",0.777478683425034
"aP9_2_01",0.777694841091577
"aP9_3_02",0.779213811607502
"aP15_1_04",0.780220501524407
"aP9_3_05",0.784977456157092
"aP9_2_04",0.786271361885175
"aP9_2_12",0.792593308032393
"aP15_2_04",0.794166186735864
"aP18_3_11",0.796624893324814
"aP15_1_20",0.797922699645256
"aP18_1_18",0.79823910071677
"aP60_3_12",0.799461204618332
"aP9_2_17",0.800617827201211
"aP15_1_22",0.801408629591773
"aP15_1_07",0.802142855604038
"aP9_2_16",0.803329197343021
"aP18_2_11",0.806004618252034
"aP9_2_07",0.806332885575845
"aP9_2_03",0.806987180589011
"aP15_1_18",0.8079008561565
"aP18_1_04",0.808082320642433
"aP9_4_04",0.808158036058436
"aP9_3_01",0.80958772953252
"aP9_2_10",0.812295153803621
"aP15_2_16",0.812295286081317
"aP9_2_22",0.814421773556127
"aP15_1_17",0.815937530918216
"aP9_3_08",0.817023951478572
"aP18_2_09",0.819704955886479
"aP60_1_02",0.820800406154951
"aP60_5_07",0.824725783809185
"aP60_4_16",0.826564397688196
"aP9_2_06",0.828647317263227
"aP9_2_11",0.828728924979533
"aP15_2_12",0.829075121134529
"aP15_1_16",0.833199318288717
"aP15_2_14",0.834261822520056
