"SiteCode";"la_id";"Classification";"os_grid_x";"os_grid_y";"Latitude";"Longitude";"OpeningDate";"ClosingDate"
"EN1";10;"Suburban";533900;195800;51.6450367266602;-0.0661800662229116;1995-06-29 09:00:00;
"EN2";10;"Roadside";532630;196590;51.6524364979749;-0.084224624306898;1997-12-21 16:00:00;2006-09-14 01:00:00
"EN3";10;"Urban Background";535440;195000;51.6374794858769;-0.0442461406121593;1998-11-03 10:00:00;2008-07-28 01:00:00
"EN4";10;"Roadside";535056;192470;51.614864007;-0.0507658363689;2000-02-29 09:15:00;
"GB6";3;"Roadside";544997;175098;51.4563;0.085606;2000-10-18 10:15:00;
"HO5";208;"Roadside";521500;122500;50.9890625032173;-0.270257451266797;2010-09-20 01:00:00;
"NB0";652;"Rural";214640;212700;51.7821521458803;-4.68858303946586;1999-01-01 00:00:00;
"XS1";504;"Industrial";0;0;49.7667866669653;-7.55715939721731;2009-10-01 01:00:00;2011-06-22 01:00:00
"RHG";27;"Roadside";515355;173992;51.4531422511004;-0.341218138106469;2016-05-24 01:00:00;
"XZ1";500;"Urban Background";100000;100000;50.7219499093979;-6.25202012130081;;2016-08-04 01:00:00
"CF1";650;"Urban Background";319260;177310;51.4889248810223;-3.16428109070607;2008-10-01 01:00:00;2014-06-09 01:00:00
"GR5";11;"Roadside";538960;177954;51.4834490664601;-0.000145562683198809;1996-11-27 00:00:00;2015-12-02 00:00:00
"GR7";11;"Roadside";538141;176710;51.472504;-0.012381;2002-03-08 11:00:00;
"HF1";13;"Roadside";523420;178590;51.4927663395234;-0.223601338284455;1999-08-23 19:15:00;2009-01-20 00:00:00
"HG1";14;"Roadside";533891;190707;51.599302;-0.068218;1994-11-29 12:00:00;
"HG2";14;"Urban Background";529894;189125;51.586029;-0.126486;1996-03-29 00:00:00;2012-10-25 01:00:00
"HI1";17;"Roadside";510835;184916;51.552264;-0.402779;1994-01-01 00:00:00;2011-06-01 01:00:00
"HI2";17;"Roadside";506990;181925;51.526115;-0.459128;2002-09-25 12:30:00;2011-06-01 01:00:00
"HK4";12;"Urban Background";534830;186234;51.558884;-0.056388;1993-10-08 17:15:00;2011-08-31 01:00:00
"HK6";12;"Roadside";532947;182575;51.526454;-0.08491;2000-06-01 00:00:00;
"HM1";150;"Urban Background";519450;196300;51.6527824578374;-0.274742958741934;1998-01-02 00:15:00;2005-10-26 01:00:00
"HO1";208;"Urban Background";517688;133497;51.0886979531234;-0.320975990184025;2002-01-01 00:00:00;2004-12-03 00:00:00
"HR1";15;"Urban Background";517877;192314;51.617327;-0.298775;1999-04-10 11:00:00;
"HR2";15;"Roadside";513504;188998;51.588417;-0.362989;2003-06-16 01:00:00;
"EA6";9;"Roadside";518537;182708;51.53085;-0.292488;2003-08-04 01:00:00;
"HS3";18;"Roadside";517500;178100;51.489321;-0.310002;1999-03-20 12:00:00;2003-01-01 00:00:00
"SK2";28;"Roadside";534620;177670;51.4819456792926;-0.0627176235171689;1994-05-03 01:00:00;2006-04-21 01:00:00
"NK1";651;"Urban Background";524045;181752;51.5210467476039;-0.213492139585065;2005-05-28 01:00:00;2018-11-08 00:00:00
"MA1";651;"Urban Background";384310;398325;53.4813756906487;-2.23789349063873;2005-05-28 01:00:00;2007-06-15 01:00:00
"NE2";500;"Urban Background";278036;188249;51.5798390360296;-3.7615678386243;2005-05-28 01:00:00;2007-06-29 01:00:00
"PT1";652;"Industrial";278036;188249;51.5798390360296;-3.7615678386243;1997-01-09 00:00:00;2007-07-24 01:00:00
"ZT4";100;"Roadside";558250;141750;51.1531049923211;0.261384613517527;2005-06-20 01:00:00;2020-01-01 00:00:00
"RGY";500;"Rural";526400;139600;51.1416972075109;-0.194509266326039;2005-06-28 01:00:00;2006-10-17 01:00:00
"SX8";200;"Kerbside";502500;106500;50.8489251948435;-0.545356104270434;2005-07-01 01:00:00;2005-11-07 00:00:00
"RIQ";503;"Roadside";516509;173500;51.4484842730256;-0.324779387724557;2005-07-19 01:00:00;2006-07-24 01:00:00
"RIR";503;"Roadside";516750;173250;51.446187775334;-0.321395297693787;2005-07-19 01:00:00;2006-07-24 01:00:00
"ZV2";37;"Roadside";553047;156691;51.2887681443168;0.193420906906318;2005-08-11 01:00:00;
"BH6";203;"Roadside";532119;105779;50.8364452777321;-0.12509151541646;2005-08-31 01:00:00;2006-09-28 01:00:00
"IS3";650;"Urban Background";531600;184200;51.5413375433481;-0.103747817882987;1982-03-30 01:00:00;2001-04-02 01:00:00
"EG2";650;"Urban Background";517400;180700;51.5130108089838;-0.30957263323311;1988-03-29 01:00:00;2002-04-01 01:00:00
"RB6";650;"Urban Background";544000;186400;51.5580810407137;0.0758366838717727;1971-03-30 01:00:00;2003-03-31 01:00:00
"EN6";650;"Urban Background";533800;195800;51.6450605072535;-0.0676244512720117;1961-04-04 01:00:00;
"GR2";650;"Urban Background";538200;177300;51.4777582451782;-0.0113393412841005;1973-04-03 01:00:00;
"CT5";650;"Urban Background";532400;181400;51.5159886951131;-0.0932703994264833;1972-03-28 01:00:00;
"WM2";650;"Urban Background";529802;178962;51.4946816299134;-0.131587057244986;1986-04-01 01:00:00;
"BX0";3;"Suburban";549980;179064;51.4906102082147;0.158914493927518;2004-04-28 01:00:00;
"LB5";22;"Industrial";530317;177952;51.4854867739729;-0.124545234819213;2005-02-01 00:00:00;
"RG3";40;"Rural";526419;139640;51.142082;-0.194181;2005-02-22 00:00:00;
"BE0";651;"Urban Background";146231;529911;54.6004060367713;-5.93056356781934;2005-05-28 01:00:00;2007-06-15 01:00:00
"EG1";9;"Roadside";520304;180054;51.5065947337762;-0.267964378025953;2005-09-01 01:00:00;2006-10-04 01:00:00
"HM4";150;"Urban Background";520248;197246;51.661149780061;-0.262858199293;2005-11-05 00:00:00;2011-04-01 01:00:00
"ST5";29;"Industrial";529400;167224;51.389286904505;-0.141661524779893;2005-12-01 00:00:00;
"AR1";204;"Rural";492396;123247;51.0011801326866;-0.684602402836938;2005-12-01 00:00:00;
"AR2";212;"Rural";544886;117461;50.938397;0.060765;2005-09-01 01:00:00;
"DC2";150;"Urban Background";505460;207380;51.7551644081251;-0.473538963981745;2005-12-13 12:00:00;2006-03-08 00:00:00
